record_type,timestamp_utc,sim_id,launch_date_utc,perigee_alt_km,apogee_alt_km,inclination_deg,latitude_deg,longitude_deg,altitude_km,speed_km_s,raan_deg,arg_perigee_deg,mean_anomaly_deg,orbital_phase_0_1,lat_sin,lat_cos,lon_sin,lon_cos,altitude_norm_0_1,position_seed_u64,position_entropy_feature_0_1,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km
CURRENT_SIM,2026-09-15T03:31:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,6.511121488802,-136.823625851203,691.037975947732,7.512494720081,89.407728882102,127.270302778984,46.097829978398,0.128049527718,0.113396070486,0.993549863469,-0.684246458334,-0.72925083768,0.168776441541,3428327742048753599,0.185850019296,30.884541769085,-7023.782695269853,796.805838372459,-5122.148931411957,-4806.044894685013,796.805838372459
FORWARD_SIM,2026-09-15T03:32:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,2.871288041102,-137.546921281078,691.243917953803,7.512042844111,89.408348795289,127.26809580664,49.742582858462,0.138173841274,0.050092457281,0.998744584828,-0.67498620199,-0.737830351181,0.1802176641,588133060864033479,0.031882757115,-27.193732449468,-7060.50704447343,351.986495796587,-5209.495031206338,-4765.780182087707,351.986495796587
FORWARD_SIM,2026-09-15T03:33:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-0.768565666803,-138.267184291281,691.643581943868,7.511566033282,89.408968708475,127.265888834296,53.387335738525,0.148298154829,-0.013413599131,0.999910033632,-0.66565787669,-0.746257054372,0.202421219104,6687255089967528282,0.362516824825,-85.161381229594,-7068.635396021838,-94.258524387037,-5275.401847207015,-4705.634300838788,-94.258524387037
FORWARD_SIM,2026-09-15T03:34:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-4.40781580174,-138.988179227199,692.235888795388,7.511066230107,89.409588621662,127.263681861952,57.032088618589,0.158422468385,-0.076855036848,0.997042277595,-0.656214720221,-0.754574211701,0.235327155299,16937266844258049709,0.918171075426,-142.784302460526,-7048.140275341435,-540.121864601556,-5319.436115953666,-4626.042380502687,-540.121864601556
FORWARD_SIM,2026-09-15T03:35:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-8.04584070226,-139.713693012772,693.016864155951,7.510545469583,89.410208534848,127.261474889608,60.676841498653,0.168546781941,-0.13996534128,0.990156403423,-0.646607492343,-0.762822883012,0.278714675331,17530740098836666600,0.950343325022,-199.829883810445,-6999.110366161471,-983.798421066144,-5341.257169174885,-4527.521369680165,-983.798421066144
FORWARD_SIM,2026-09-15T03:36:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-11.682019123769,-140.447656977983,693.979684546157,7.510005870742,89.410828448035,127.259267917264,64.321594378716,0.178671095496,-0.202479980295,0.979286402223,-0.636782878617,-0.77104316708,0.332204697009,11299108689166620214,0.612525909397,-256.067946710558,-6921.75005669112,-1423.492696006314,-5340.618941451126,-4410.667065518496,-1423.492696006314
FORWARD_SIM,2026-09-15T03:37:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-15.315727664954,-141.194278547148,695.114771003873,7.50944962788,89.411448361221,127.25706094492,67.96634725878,0.188795409052,-0.264137810586,0.964484949089,-0.626681631519,-0.779275389523,0.395265055771,17759870433563336362,0.962764505357,-311.271678827402,-6816.378511609762,-1857.426098514573,-5317.371563034062,-4276.150807936039,-1857.426098514573
FORWARD_SIM,2026-09-15T03:38:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-18.946336636178,-141.958192295249,696.409928455275,7.508879001494,89.412068274408,127.254853972576,71.611100138844,0.198919722608,-0.324682436834,0.945823088749,-0.616236308716,-0.787561306705,0.467218247515,16412976598030550256,0.889749244227,-365.218551187566,-6683.428275287928,-2283.844163824313,-5271.462529145305,-4124.715857470269,-2283.844163824313
FORWARD_SIM,2026-09-15T03:39:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-22.573203481603,-142.744642249407,697.850528128889,7.508296308971,89.412688187595,127.252647000232,75.255853018908,0.209044036164,-0.383863506792,0.923389846248,-0.605368419853,-0.795945397779,0.547251562716,3548200571183677013,0.192348338385,-417.691216209832,-6523.443413629317,-2701.023661306671,-5202.937439823786,-3957.173476131982,-2701.023661306671
FORWARD_SIM,2026-09-15T03:40:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,-26.195662610632,-143.55971131777,699.419729535983,7.50770391507,89.413308100781,127.250440027888,78.900605898971,0.219168349719,-0.44143792752,0.897291789858,-0.593984717147,-0.80447632395,0.634429418666,14320661228155490721,0.77632460075,-468.478383006306,-6337.077203839057,-3107.279562174942,-5111.940306344246,-3774.398731868951,-3107.279562174942
